Date,Time,ms,LEVEL,TEMPERATURE,CONDUCTIVITY
2013/09/11,23:00:00,0,0.817660800000001,13.7,0.245
2013/09/12,00:00:00,0,0.8192388219999998,13.7,0.244
2013/09/12,01:00:00,0,0.8191938000000004,13.7,0.244
2013/09/12,02:00:00,0,0.8175443999999993,13.7,0.244
2013/09/12,03:00:00,0,0.8169468000000006,13.7,0.244
2013/09/12,04:00:00,0,0.8159248000000002,13.7,0.244
2013/09/12,05:00:00,0,0.8162313999999992,13.7,0.244
2013/09/12,06:00:00,0,0.819019199999998,13.7,0.244
2013/09/12,07:00:00,0,0.8183336000000009,13.6,0.243
2013/09/12,08:00:00,0,0.8174588219999986,13.5,0.243
2013/09/12,09:00:00,0,0.8182313999999997,13.5,0.243
2013/09/12,10:00:00,0,0.8225379999999995,13.6,0.243
2013/09/12,11:00:00,0,0.8142029999999988,13.5,0.243
2013/09/12,12:00:00,0,0.817269,13.5,0.244
2013/09/12,13:00:00,0,0.8167562799999984,13.5,0.244
2013/09/12,14:00:00,0,0.8161862199999996,13.5,0.244
2013/09/12,15:00:00,0,0.8155934600000001,13.5,0.244
2013/09/12,16:00:00,0,0.8192307579999988,13.6,0.244
2013/09/12,17:00:00,0,0.8197157799999991,13.6,0.244
2013/09/12,18:00:00,0,0.8166347199999984,13.5,0.244
2013/09/12,19:00:00,0,0.8161550779999993,13.5,0.244
2013/09/12,20:00:00,0,0.8257218000000012,13.5,0.244
2013/09/12,21:00:00,0,0.8309873599999992,13.6,0.245
2013/09/12,22:00:00,0,0.8355761399999995,13.6,0.245
2013/09/12,23:00:00,0,0.8344684000000007,13.6,0.245
2013/09/13,00:00:00,0,0.8348753179999995,13.7,0.244
2013/09/13,01:00:00,0,0.8344062199999996,13.6,0.243
2013/09/13,02:00:00,0,0.8378728980000016,13.6,0.243
2013/09/13,03:00:00,0,0.8342929399999991,13.6,0.242
2013/09/13,04:00:00,0,0.83418364,13.6,0.242
2013/09/13,05:00:00,0,0.8327426200000002,13.5,0.242
2013/09/13,06:00:00,0,0.8331451800000003,13.5,0.241
